Plot,Isolate_x,Isolate_y,SICA,escape_ratio_x_from_y,escape_ratio_y_from_x,alt_escape_ratio_x_from_y,alt_escape_ratio_y_from_x
3,3D,3J,Rifampicin,0.170606372,9.255230126,0.136343013,4.423352436
3,3D,3J,Streptomycin,0.14696814,3.334728033,0.161751361,4.47277937
3,3D,3J,Streptothricin,0.238437821,3.715481172,0.117740472,5.082378223
3,3D,3J,Tetracycline,0.472764645,0.313807531,1.213248639,0.492836676
3,3D,3J,Vancomycin,0.369989723,2.941422594,0.195553539,3.89469914
3,3E,3F,Chloramphenicol,6.619047619,0.104895105,0.809968847,0.783171521
3,3E,3F,Rifampicin,9.952380952,0.479020979,1.915576324,0.548543689
3,3E,3F,Streptomycin,3.523809524,0.699300699,1.487227414,0.705501618
3,3E,3F,Streptothricin,2.380952381,0.797202797,0.015576324,0.368932039
3,3E,3F,Tetracycline,118.3809524,0.143356643,3.331464174,0.110032362
3,3E,3F,Vancomycin,6.952380952,0.776223776,1.674143302,0.729773463
3,3E,3G,Chloramphenicol,11.70201342,0,1.491150442,0
3,3E,3G,Rifampicin,8.033557047,0.397196262,2.030633084,0.442401961
3,3E,3G,Streptomycin,1.028187919,1.920560748,0.563308373,1.68995098
3,3E,3G,Streptothricin,0.067114094,15.68691589,0.00850919,4.113970588
3,3E,3G,Tetracycline,11.15436242,0.845794393,1.918822328,0.611519608
3,3E,3G,Vancomycin,2.024161074,1.836448598,1.424098026,0.870098039
3,3E,3H,Chloramphenicol,9.801282051,0.024054983,2.333547558,0.028263795
3,3E,3H,Rifampicin,0.871794872,0.786941581,0.888817481,1.31090175
3,3E,3H,Streptomycin,1.264957265,0.692439863,1.378213368,0.415208614
3,3E,3H,Streptothricin,0,14.26804124,0,2.815948856
3,3E,3H,Tetracycline,1.489316239,0.505154639,1.714652956,0.330080754
3,3E,3H,Vancomycin,21.64316239,0.103092784,4.42062982,0.056527591
3,3E,3I,Chloramphenicol,0.32952381,1.85106383,0.269711024,3.431966726
3,3E,3I,Rifampicin,2.982857143,0.07712766,3.029967892,0.296494355
3,3E,3I,Streptomycin,1.371428571,1.17287234,1.600428113,0.805109923
3,3E,3I,Streptothricin,0,30.59574468,0,6.891265597
3,3E,3I,Tetracycline,1.043809524,1.167553191,0.762754192,2.822341058
3,3E,3I,Vancomycin,1.691428571,1.382978723,2.19158045,0.710635769
3,3E,3J,Chloramphenicol,0.22019334,1.355721393,0.096451676,3.919334187
3,3E,3J,Rifampicin,1.555316864,0.751243781,1.347186826,0.665172855
3,3E,3J,Streptomycin,0.751879699,1.213930348,0.697314252,1.497439181
3,3E,3J,Streptothricin,0,39.32089552,0,10.20358515
3,3E,3J,Tetracycline,1.501611171,0.268656716,1.50029406,0.398207426
3,3E,3J,Vancomycin,1.08915145,1.241293532,0.736718291,1.532650448
